1	GI	30	157	EN	24	121	AL	27	100	SW	23	94
2	ME	16	135	HA	30	127	GI	19	118	DA	21	108
3	HA	30	145	DA	16	132	GI	22	116	FA	30	104
4	CU	30	153	ME	19	108	CH	30	103	EN	25	91
5	CU	28	141	GI	27	138	DA	27	128	ME	30	110
6	FA	30	167	GI	19	125	WI	24	123	SW	18	121
7	CU	30	162	WI	27	157	GI	30	145	SW	30	109
8	WI	30	149	ME	20	135	CU	18	131	CH	23	124
9	CU	21	154	GI	30	127	AU	30	121	DA	14	83
10	ME	16	143	CH	25	138	DA	18	120	HA	30	114
10	ME	16	143	CH	25	138	DA	18	120	HA	30	114
11	AU	27	150	NO	30	142	CU	30	136	GI	29	127
12	GI	23	147	DA	15	146	FA	30	145	AU	18	129
13	CH	30	143	DA	15	120	CU	25	120	EN	25	107
14	GI	30	151	DA	13	142	HA	30	121	AU	16	113
15	FA	30	138	AU	30	125	GI	30	114	DA	19	113
16	DA	27	148	SW	24	143	DW	30	142	HA	30	105
17	CH	19	156	ME	19	147	DA	22	137	HA	30	109
18	CH	30	180	ME	30	151	NO	30	127	WI	23	110
19	ME	19	160	NO	30	146	HA	26	135	DA	16	120
20	SW	20	150	WI	10	137	CH	30	128	NO	21	117
21	ME	9	130	AU	30	128	CH	13	125	CU	15	104
22	CH	30	166	DA	26	149	WI	28	144	SW	30	143
23	WI	19	146	AL	30	120	ME	24	116	HA	19	97
24	NO	30	159	DA	27	131	SW	29	126	WI	24	118
25	FA	28	144	SW	22	131	CH	30	127	DW	21	107
26	DW	30	139	CH	22	132	HA	18	132	ME	14	123
27	WI	17	143	DA	15	130	FA	30	121	ME	16	85
28	AU	24	134	EN	30	129	ME	7	126	GI	13	104
29	EN	30	146	AL	30	122	NO	12	120	AU	30	119
30	ME	16	123	NO	30	118	CU	26	114	EN	25	113
31	SW	15	147	GI	19	129	DA	16	128	EN	30	126
32	CH	30	142	WI	16	138	NO	17	121	AL	15	114
33	SW	30	141	GI	22	123	DA	19	115	WI	17	115
34	FA	30	148	DA	16	138	HA	24	138	EN	13	129
35	CU	27	164	WI	21	150	DA	19	138	CH	30	128
36	DW	30	145	WI	15	127	NO	15	111	DA	14	110
37	DW	23	129	ME	16	125	GI	30	122	DA	22	112
38	DW	30	122	CU	0	118	WI	11	112	GI	20	110
39	DA	12	160	WI	24	129	NO	17	124	DW	30	123
40	FA	20	124	SW	15	123	GI	30	119	DA	12	113
41	SW	25	158	DA	28	156	GI	30	144	WI	30	141
42	SW	8	146	CH	30	134	FA	15	132	EN	18	117
43	CU	30	138	GI	25	134	SW	25	118	DA	19	118
44	ME	17	135	CU	8	120	GI	30	108	EN	17	101
45	FA	30	162	EN	30	151	ME	30	142	DA	30	122
46	SW	26	152	GI	30	144	CU	19	138	EN	30	108
47	GI	18	142	ME	30	127	AU	19	121	DA	18	118
48	DW	30	158	CU	24	137	NO	30	127	SW	20	126
50	AL	30	138	ME	30	133	GI	20	128	EN	26	117
51	SW	19	113	GI	22	113	NO	20	112	AL	30	104
52	ME	20	142	GI	30	132	CU	15	126	WI	26	125
53	AL	19	132	FA	30	117	WI	7	100	GI	15	86
54	DW	30	140	DA	16	132	FA	15	118	WI	23	111
55	SW	30	154	DA	23	145	WI	14	117	CH	13	102
56	GI	30	129	DA	23	128	WI	16	125	NO	25	122
